emotion,precision,recall,f1-score
gratitude,0.692469,0.846547,0.761795
love,0.452525,0.811594,0.581064
amusement,0.463840,0.598071,0.522472
curiosity,0.390625,0.708215,0.503525
admiration,0.462662,0.513513,0.486763
optimism,0.325905,0.413428,0.364486
neutral,0.235362,0.570225,0.333197
anger,0.235714,0.552301,0.330413
confusion,0.212500,0.578723,0.310857
annoyance,0.246947,0.399123,0.305113
sadness,0.205782,0.573460,0.302879
disapproval,0.259615,0.341772,0.295082
joy,0.224409,0.411552,0.290446
approval,0.213775,0.424512,0.284355
surprise,0.207895,0.427027,0.279646
caring,0.191964,0.425743,0.264615
disgust,0.159590,0.579787,0.250287
desire,0.151899,0.553846,0.238411
disappointment,0.140212,0.445378,0.213280
excitement,0.150562,0.364130,0.213037
fear,0.092742,0.711340,0.164090
remorse,0.088365,0.789474,0.158940
realization,0.095626,0.452632,0.157895
embarrassment,0.051518,0.636364,0.095319
nervousness,0.038288,0.809524,0.073118
pride,0.015168,0.826923,0.029789
relief,0.013023,0.940000,0.025690
grief,0.002779,1.000000,0.005543
