emotion,precision,recall,f1-score
gratitude,0.89,0.75,0.82
love,0.66,0.62,0.64
amusement,0.63,0.60,0.61
admiration,0.62,0.56,0.59
fear,0.63,0.35,0.45
curiosity,0.57,0.30,0.40
surprise,0.61,0.24,0.35
anger,0.62,0.26,0.36
sadness,0.63,0.25,0.36
optimism,0.63,0.24,0.34
joy,0.64,0.19,0.30
approval,0.53,0.13,0.21
disapproval,0.47,0.15,0.22
desire,0.50,0.16,0.25
caring,0.41,0.12,0.19
confusion,0.47,0.12,0.19
neutral,0.50,0.12,0.19
disgust,0.44,0.10,0.17
remorse,0.42,0.08,0.14
excitement,0.77,0.05,0.10
realization,0.62,0.02,0.03
annoyance,0.50,0.01,0.01
disappointment,0.25,0.00,0.01
embarrassment,0.00,0.00,0.00
grief,0.00,0.00,0.00
nervousness,0.00,0.00,0.00
pride,0.00,0.00,0.00
relief,0.00,0.00,0.00
