emotion,precision,recall,f1-score
gratitude,0.91,0.73,0.81
admiration,0.66,0.35,0.46
curiosity,0.58,0.16,0.25
neutral,0.30,0.00,0.01
amusement,0.00,0.00,0.00
anger,0.00,0.00,0.00
annoyance,0.00,0.00,0.00
approval,0.00,0.00,0.00
caring,0.00,0.00,0.00
confusion,0.00,0.00,0.00
desire,0.00,0.00,0.00
disappointment,0.00,0.00,0.00
disapproval,0.00,0.00,0.00
disgust,0.00,0.00,0.00
embarrassment,0.00,0.00,0.00
excitement,0.00,0.00,0.00
fear,0.00,0.00,0.00
grief,0.00,0.00,0.00
joy,0.00,0.00,0.00
love,0.00,0.00,0.00
nervousness,0.00,0.00,0.00
optimism,0.00,0.00,0.00
pride,0.00,0.00,0.00
realization,0.00,0.00,0.00
relief,0.00,0.00,0.00
remorse,0.00,0.00,0.00
sadness,0.00,0.00,0.00
surprise,0.00,0.00,0.00
