emotion,precision,recall,f1-score
gratitude,0.692469,0.846547,0.761795
love,0.462963,0.815217,0.590551
amusement,0.515789,0.630225,0.567294
admiration,0.491987,0.553153,0.520780
curiosity,0.392188,0.711048,0.505539
optimism,0.334270,0.420495,0.372457
neutral,0.241841,0.582865,0.341845
anger,0.242424,0.569038,0.340000
sadness,0.221416,0.578199,0.320210
annoyance,0.256793,0.414474,0.317114
confusion,0.214744,0.570213,0.311991
surprise,0.237143,0.448649,0.310280
disapproval,0.274704,0.351899,0.308546
joy,0.227273,0.433213,0.298137
caring,0.214118,0.450495,0.290271
approval,0.212766,0.444050,0.287687
disgust,0.161094,0.563830,0.250591
desire,0.150943,0.553846,0.237232
excitement,0.160757,0.369565,0.224053
disappointment,0.145578,0.449580,0.219938
remorse,0.105903,0.802632,0.187117
fear,0.105572,0.742268,0.184852
realization,0.098622,0.477193,0.163462
embarrassment,0.058527,0.659091,0.107507
nervousness,0.035184,0.714286,0.067064
pride,0.015221,0.769231,0.029851
relief,0.013807,0.940000,0.027215
grief,0.002779,1.000000,0.005543
