emotion,precision,recall,f1-score
gratitude,0.894904,0.747340,0.814493
love,0.684211,0.625926,0.653772
amusement,0.635484,0.611801,0.623418
admiration,0.617308,0.554404,0.584167
fear,0.592593,0.436364,0.502618
curiosity,0.567308,0.365325,0.444444
surprise,0.581633,0.303191,0.398601
anger,0.524823,0.307054,0.387435
sadness,0.557522,0.278761,0.371681
optimism,0.552239,0.259649,0.353222
joy,0.593750,0.208791,0.308943
remorse,0.575758,0.195876,0.292308
desire,0.444444,0.187500,0.263736
disapproval,0.500000,0.175772,0.260105
caring,0.406593,0.188776,0.257840
embarrassment,0.521739,0.169014,0.255319
confusion,0.492537,0.142857,0.221477
approval,0.506329,0.134680,0.212766
disgust,0.425926,0.137725,0.208145
neutral,0.481250,0.113905,0.184211
excitement,0.540541,0.105263,0.176211
nervousness,0.833333,0.094340,0.169492
pride,0.625000,0.092593,0.161290
annoyance,0.408451,0.067285,0.115538
disappointment,0.313725,0.063745,0.105960
realization,0.333333,0.030717,0.056250
grief,0.000000,0.000000,0.000000
relief,0.000000,0.000000,0.000000
