emotion,precision,recall,f1-score
gratitude,0.897764,0.747340,0.815675
love,0.678715,0.625926,0.651252
amusement,0.619808,0.602484,0.611024
admiration,0.645030,0.549223,0.593284
fear,0.582278,0.418182,0.486772
curiosity,0.540426,0.393189,0.455197
surprise,0.597938,0.308511,0.407018
anger,0.510067,0.315353,0.389744
sadness,0.549180,0.296460,0.385057
remorse,0.551020,0.278351,0.369863
optimism,0.556452,0.242105,0.337408
desire,0.477612,0.250000,0.328205
joy,0.565217,0.190476,0.284932
disapproval,0.516779,0.182898,0.270175
caring,0.454545,0.178571,0.256410
approval,0.516304,0.159933,0.244216
confusion,0.406593,0.160173,0.229814
disgust,0.490196,0.149701,0.229358
embarrassment,0.588235,0.140845,0.227273
excitement,0.526316,0.105263,0.175439
neutral,0.472973,0.103550,0.169903
disappointment,0.358974,0.055777,0.096552
annoyance,0.433962,0.053364,0.095041
nervousness,0.666667,0.037736,0.071429
realization,0.281250,0.030717,0.055385
grief,0.000000,0.000000,0.000000
relief,0.000000,0.000000,0.000000
pride,0.000000,0.000000,0.000000
